1, 0, 120, 20.8
2, 1, 55.6, 11.8
3, 1, 59.5, 24.1
4, 1, 48.8, 11.7
5, 0, 120, 10.1
6, 0, 120, 16
7, 0, 120, 28.2
8, 0, 120, 33.2
9, 0, 120, 20.3
10, 0, 120, 14.1
11, 0, 120, 16.9
12, 1, 73.8, 18.8
13, 0, 120, 20.5
14, 0, 120, 25.2
15, 0, 120, 20.5
16, 0, 31.3, 12.9
17, 1, 60, 23
18, 1, 60.2, 14.8
19, 0, 120, 14.8
20, 0, 120, 23.4
21, 0, 120, 15.5
22, 0, 120, 16.3
23, 0, 120, 24.7
24, 1, 56.5, 19
25, 1, 50.7, 9.7
26, 1, 119.5, 65.4
27, 0, 120, 26.9
28, 1, 55.8, 13.5
29, 0, 120, 18.8
30, 1, 80.6, 12
31, 0, 120, 18.1
32, 1, 58.1, 15.3
33, 1, 117.9, 56.8
34, 1, 55.1, 18.2
35, 0, 120, 16.5
36, 1, 60, 24.9
37, 1, 64.4, 23.4
38, 1, 75.5, 27.5
39, 0, 120, 18.8
40, 0, 120, 25
41, 1, 58.5, 22.5
42, 0, 120, 29.8
43, 0, 120, 16.1
44, 1, 46.5, 16.1
45, 1, 59, 26.1
46, 0, 120, 79.1
47, 0, 120, 59.8
48, 1, 57.1, 14.5
49, 1, 59.2, 27
50, 0, 120, 28.9
51, 0, 120, 23.5
52, 0, 120, 27.8
53, 0, 120, 17.3
54, 0, 120, 9.3
55, 1, 59.7, 32.7
56, 0, 120, 32.7
57, 0, 120, 27.9
58, 1, 54.2, 15.2
59, 1, 59.3, 27
60, 0, 120, 16.7
61, 0, 120, 21.7
62, 1, 65.2, 20.8
63, 1, 60.2, 18.9
64, 0, 120, 17.5
65, 1, 57.3, 25.2
66, 0, 120, 14
67, 0, 120, 21.7
68, 0, 120, 22.5
69, 1, 60.4, 26
70, 0, 120, 14.9
71, 0, 120, 15.7
72, 1, 60.4, 19.7
73, 1, 61.7, 24.2
74, 1, 56.7, 15.9
75, 0, 120, 20.2
76, 0, 120, 32.5
77, 1, 89.8, 23.4
78, 1, 67, 12.1
79, 0, 120, 24.9
80, 0, 120, 51.2
81, 1, 61.1, 25
82, 0, 120, 18
83, 0, 120, 12.3
84, 1, 109.7, 25.6
85, 0, 120, 19.9
86, 1, 65.3, 14.2
87, 0, 120, 19
88, 0, 120, 19.6
89, 0, 120, 12.8
90, 1, 53.3, 19.3
91, 0, 120, 23.4
92, 0, 120, 24.9
93, 0, 120, 24.1
94, 1, 67.2, 37.5
95, 0, 120, 19.1
96, 0, 120, 27.4
97, 0, 120, 17.5
98, 1, 60.2, 23.8
99, 0, 120, 19.7
100, 0, 120, 21.4
